ID;AREA;TM;TBP;HLM;EE;DI;TE;DA;AE;AR;RUE
220;N1;59,08;68,41;65,64;55,33;29,52;61,05;61,40;46,79;52,64;58,84
221;N1;60,79;67,16;66,19;68,51;47,56;77,59;;;66,51;
222;N1;86,11;88,06;88,95;64,96;62,55;69,18;25,41;53,44;60,11;23,97
223;N1;50,49;59,63;59,69;61,69;32,12;61,03;99,70;47,06;52,29;95,90
224;N1;46,95;55,78;54,48;55,23;16,10;41,68;99,70;32,46;34,77;96,17
225;N1;58,45;67,23;65,35;63,71;37,94;58,47;90,28;48,63;49,17;86,96
226;N1;90,13;95,80;95,76;64,55;55,34;64,05;14,93;51,93;54,79;14,36
227;N1;73,98;84,11;80,65;72,68;30,79;67,34;99,70;54,21;58,13;96,23
228;N1;59,12;64,22;62,80;67,92;50,26;72,41;99,70;58,11;60,88;65,40
229;N1;60,66;70,78;70,47;58,16;46,14;60,83;48,58;45,78;51,96;46,51
230;N1;56,04;56,89;59,14;56,90;17,36;;99,70;60,93;63,52;96,61
231;N1;68,90;73,62;71,73;59,94;41,13;60,21;56,16;47,21;51,51;53,88
232;N1;59,51;67,87;68,53;61,85;17,06;72,73;99,70;56,01;62,94;95,77
233;N1;58,33;64,00;64,32;66,96;44,01;71,54;99,70;58,01;60,45;95,86
234;N1;64,00;68,74;67,31;50,19;19,35;69,74;50,78;55,85;59,97;48,41
235;N1;72,94;82,19;80,31;74,61;42,06;73,56;99,70;58,37;62,59;96,66
236;N1;62,28;68,42;69,15;67,63;53,19;62,55;86,42;51,15;51,89;82,97
237;N1;56,50;63,10;63,82;45,04;16,40;68,51;42,34;53,86;57,16;40,31
238;N1;56,89;63,15;61,99;63,00;54,26;46,87;76,58;38,91;38,85;74,26
239;N1;71,74;79,11;76,25;78,08;62,30;73,78;99,70;57,87;62,41;95,78
240;N1;70,03;74,50;74,74;62,05;32,19;70,93;70,86;56,00;60,70;67,88
241;N1;65,78;68,74;69,99;70,64;49,86;60,70;99,70;48,89;52,24;96,21
242;N1;59,84;62,82;63,62;44,59;20,50;62,12;36,85;50,41;53,19;35,17
243;N1;87,18;96,36;92,31;86,25;63,29;55,86;98,61;46,79;;95,65
244;N1;82,10;87,27;87,65;66,54;55,00;57,53;39,46;47,45;49,20;37,40
245;N1;66,83;74,54;74,29;65,69;31,39;64,88;87,39;49,96;53,95;84,64
246;N1;70,47;76,77;76,96;61,16;40,93;73,36;52,04;55,68;60,84;50,02
247;N1;62,87;71,16;70,01;67,71;34,31;48,28;99,70;37,79;39,39;96,08
248;N1;71,30;78,66;79,00;79,77;65,61;61,66;99,70;50,12;52,02;96,14
249;N1;59,26;67,92;67,44;58,03;51,57;60,55;48,64;49,47;52,28;46,28
250;N1;74,29;79,70;78,61;66,44;77,12;61,79;35,16;49,72;53,42;33,40
251;N1;64,29;72,25;72,21;64,35;60,48;54,31;54,65;44,01;46,43;52,46
252;N1;54,22;55,63;55,23;51,66;41,57;64,79;56,70;49,42;54,93;54,86
253;N1;67,34;73,96;71,50;55,16;46,49;76,91;31,54;62,41;64,55;30,48
254;N1;81,72;91,58;89,96;86,58;69,75;77,33;99,70;59,72;65,43;96,00
255;N1;61,18;65,25;67,97;70,88;54,57;60,93;99,70;46,32;52,70;95,99
256;N1;51,28;57,46;56,77;49,37;36,55;63,51;51,02;50,61;54,98;49,46
257;N1;69,65;79,40;77,21;65,62;65,20;68,52;42,75;55,84;57,31;40,79
258;N1;46,67;48,92;49,20;56,56;34,57;57,67;99,70;46,72;47,87;96,49
259;N1;60,97;67,98;65,08;57,84;16,55;84,25;85,17;63,87;71,86;81,96
260;N1;76,60;81,87;82,79;73,99;75,78;58,07;61,92;44,50;48,40;59,19
261;N1;64,61;70,76;69,02;54,64;48,96;58,20;33,96;44,92;49,52;32,40
262;N1;71,35;77,84;76,41;62,09;63,25;58,83;34,15;48,68;48,33;32,23
263;N1;71,53;77,85;77,34;59,52;28,98;48,40;57,37;39,68;39,49;55,45
264;N1;88,74;95,62;94,06;84,81;84,76;75,98;68,78;60,73;64,45;66,62
265;N1;59,98;66,02;66,28;63,43;36,57;71,18;91,65;54,34;60,01;88,67
266;N1;72,59;81,08;78,84;65,26;54,06;68,06;49,82;55,20;58,32;47,52
267;N1;65,16;74,62;72,15;66,00;23,25;67,88;99,70;51,79;57,92;96,33
268;N1;93,74;98,60;96,85;80,66;55,58;74,56;77,87;58,52;62,81;74,78
269;N1;58,45;66,49;63,95;62,82;59,16;76,60;64,70;62,42;66,34;62,53
270;N1;69,64;78,75;77,99;63,95;26,01;64,51;78,47;49,70;54,68;75,76
271;N1;54,47;64,27;62,81;60,73;22,06;61,86;98,17;48,58;53,81;94,97
272;N1;59,48;62,57;62,24;60,22;31,47;55,06;91,19;42,94;47,35;88,13
273;N1;65,33;67,55;70,50;62,63;21,84;71,39;97,36;54,96;60,53;94,40
274;N1;75,27;83,42;82,15;73,72;35,53;53,01;99,70;42,68;44,82;96,44
275;N1;83,27;89,83;89,99;70,67;39,45;78,06;69,51;59,29;66,44;67,12
276;N1;79,35;81,94;81,65;78,62;67,04;55,44;88,25;42,77;45,44;85,56
277;N1;64,38;65,47;67,21;44,98;23,55;76,08;25,12;58,95;65,65;24,00
278;N1;76,20;84,99;83,03;68,21;70,12;69,78;39,07;55,69;59,75;37,21
279;N1;68,69;77,01;74,23;72,14;51,70;64,94;92,23;52,31;55,96;88,55
280;N1;65,66;72,98;73,32;62,92;32,00;65,66;77,49;52,95;56,67;75,04
281;N1;70,53;80,99;78,25;77,13;54,15;83,61;99,70;63,32;71,62;95,91
282;N1;57,32;58,72;62,51;49,64;36,00;74,43;46,79;58,66;63,35;45,31
283;N1;57,03;63,67;61,72;46,54;18,16;69,22;45,82;55,91;58,73;44,26
284;N1;76,06;80,30;79,62;66,92;61,38;64,66;48,68;52,23;54,19;46,72
285;N2;66,48;69,97;70,25;63,79;20,22;64,44;99,70;52,91;54,81;96,15
286;N2;86,01;91,14;92,67;90,63;84,24;61,40;99,70;47,95;50,71;96,51
287;N2;70,67;74,26;75,48;61,68;64,73;82,77;35,26;62,54;71,11;33,74
288;N2;72,37;78,47;80,34;68,51;58,55;69,83;62,69;54,14;59,53;60,04
289;N2;48,84;55,67;56,31;46,01;25,39;56,45;51,33;44,08;48,42;48,97
290;N2;67,16;72,31;70,38;51,54;45,13;68,83;20,59;55,42;59,60;19,20
291;N2;70,51;76,26;75,24;59,22;72,96;60,84;16,44;46,98;51,71;15,65
292;N2;74,07;76,86;77,51;65,46;49,10;45,03;62,06;38,73;36,29;59,24
293;N2;66,12;71,57;73,05;75,25;60,62;57,70;99,31;46,05;48,99;95,79
294;N2;54,15;55,06;54,82;31,98;5,06;65,87;14,99;51,84;56,70;14,48
295;N2;78,58;87,86;83,60;78,01;47,21;73,43;99,70;58,83;62,45;96,60
296;N2;57,55;63,77;64,99;59,86;17,23;80,98;99,70;65,51;68,59;95,71
297;N2;63,53;65,28;68,37;66,59;64,28;61,67;72,98;48,44;52,13;70,19
298;N2;60,26;62,53;62,73;45,68;29,90;69,80;31,70;53,13;58,23;29,78
299;N2;72,71;83,21;82,84;78,38;55,21;84,23;99,70;65,86;71,87;96,13
300;N2;61,68;66,23;65,99;60,48;32,66;72,01;82,61;56,39;60,13;79,36
301;N2;78,85;85,16;83,74;74,54;54,05;66,83;79,98;52,50;55,18;76,96
302;N2;66,37;67,45;68,55;55,65;35,41;59,65;57,03;49,07;49,04;55,05
303;N2;66,17;71,61;73,79;65,24;69,42;60,93;51,94;49,02;50,48;49,39
304;N2;67,77;69,27;72,01;66,88;65,69;69,38;64,98;55,74;59,80;62,29
305;N2;54,10;62,95;60,68;63,17;35,00;77,08;99,70;57,87;65,71;95,95
306;N2;93,96;97,09;97,40;90,79;74,00;69,40;99,70;52,43;58,71;96,40
307;N2;64,44;66,66;66,40;72,42;61,43;53,96;99,70;41,08;46,47;96,13
308;N2;77,88;80,26;79,96;71,15;52,50;60,47;76,15;47,49;49,94;73,59
309;N2;79,09;82,71;85,22;72,14;77,63;58,49;45,74;43,99;48,87;44,23
310;N2;49,40;53,61;52,67;42,87;17,80;72,55;52,67;59,35;61,19;50,85
311;N2;77,50;86,19;84,35;69,40;68,36;62,13;41,66;49,79;53,02;40,01
312;N2;99,01;98,60;15,00;45,68;53,11;70,97;19,98;54,65;;18,60
313;N2;59,00;65,26;63,64;46,08;25,87;55,62;31,26;45,74;45,69;30,04
314;N2;48,36;53,10;55,11;36,62;3,71;77,02;38,07;58,81;66,76;36,89
315;N2;57,84;68,22;63,88;60,63;37,59;67,16;78,14;50,44;55,72;74,98
316;N2;59,55;64,17;65,88;60,69;20,62;59,48;99,70;46,10;51,60;95,94
317;N2;62,12;68,74;68,11;49,17;20,98;70,28;42,89;52,79;58,43;
318;N2;78,67;84,34;85,62;79,76;54,43;45,95;99,70;37,56;39,49;96,58
319;N2;84,04;91,07;90,54;66,05;66,88;70,80;17,82;54,51;59,11;16,74
320;N2;73,32;79,36;81,32;70,65;48,77;61,82;76,85;51,03;52,94;74,06
321;N2;76,20;84,81;84,41;68,39;63,98;70,22;43,55;54,31;60,59;41,62
322;N2;52,60;55,06;57,11;42,50;26,90;65,46;35,32;51,58;55,24;34,24
323;N2;63,82;72,66;69,53;65,99;39,96;86,14;85,09;69,12;72,58;82,40
324;N2;76,71;87,07;82,08;77,18;48,15;68,03;98,13;54,32;58,68;94,60
325;N2;70,60;74,12;75,11;77,61;67,16;63,25;99,98;49,73;52,67;96,76
326;N2;56,65;66,00;65,16;55,76;45,42;59,76;49,34;45,53;49,12;47,47
327;N2;62,37;67,39;65,26;71,04;59,06;65,72;99,70;54,17;56,22;96,21
328;N2;97,80;98,60;99,83;75,96;52,52;72,05;56,87;56,37;62,21;54,76
329;N2;59,28;63,20;62,72;69,73;58,18;69,65;99,70;52,36;60,49;96,10
330;N2;74,53;76,87;79,11;67,13;39,65;62,39;76,67;51,00;52,80;74,17
331;N2;76,45;84,00;81,59;58,29;44,04;50,67;28,17;38,87;43,86;27,32
332;N2;69,34;79,69;75,36;59,42;27,72;67,13;59,06;51,39;55,72;56,83
333;N2;65,08;67,78;67,21;67,77;;74,54;99,70;59,55;63,14;96,37
334;N2;63,50;73,43;72,88;49,18;40,88;66,36;14,56;52,25;55,61;13,25
335;N2;71,13;80,38;77,11;58,98;68,37;68,45;11,61;51,90;58,51;10,65
336;N2;57,67;67,00;;50,08;35,44;61,53;35,35;49,66;53,43;33,67
337;N2;60,16;66,81;64,38;65,49;49,95;62,80;86,25;51,64;52,47;83,15
338;N2;49,24;51,49;51,91;51,54;19,12;;90,04;55,09;56,26;86,46
339;N2;57,12;65,80;63,71;54,38;43,42;71,15;49,51;56,22;59,09;47,54
340;N2;49,11;58,49;54,47;48,47;27,59;58,15;58,28;47,71;48,22;56,12
341;N2;72,43;74,41;74,01;61,94;46,99;67,06;58,31;54,65;55,71;55,79
342;N2;58,41;64,65;66,13;66,83;43,77;;99,70;52,71;58,08;96,71
343;N2;71,37;72,97;75,66;67,29;29,96;61,43;94,73;47,01;50,99;90,94
344;N2;85,32;93,70;91,35;71,88;76,42;62,43;30,50;47,59;51,97;29,16
345;N2;56,27;62,41;59,94;39,66;28,27;62,61;13,12;48,56;54,30;11,85
346;N2;75,69;83,03;80,40;72,42;31,54;55,40;99,70;43,61;45,89;96,08
347;N2;68,40;73,46;71,22;69,84;43,06;74,10;95,68;55,95;61,90;92,73
348;N2;64,48;71,93;72,72;52,45;24,43;72,82;43,78;58,06;61,97;41,81
349;N2;52,41;62,86;62,03;67,66;50,54;58,34;99,70;44,11;47,82;95,93
350;N2;74,79;78,45;81,14;64,75;56,58;75,42;45,14;58,51;64,49;43,63
351;N2;96,44;98,60;37,00;58,64;71,20;74,39;30,29;56,80;62,84;28,85
352;N2;74,43;78,62;77,67;58,85;68,97;66,94;13,90;52,90;57,27;13,29
353;N2;55,72;58,10;59,66;34,93;12,90;54,53;10,52;44,85;45,49;9,39
354;N2;56,09;59,33;59,25;51,03;52,41;64,18;36,26;48,25;53,46;
355;N2;58,13;59,15;63,03;58,20;46,41;79,24;68,37;64,30;68,06;65,77
356;N2;62,83;64,23;65,96;62,58;26,24;58,80;97,77;47,88;49,99;94,77
357;N2;62,27;66,33;66,74;49,73;47,78;75,37;22,38;;64,08;20,89
358;N2;52,98;61,95;62,08;66,28;55,52;83,90;89,31;66,41;70,77;86,03
359;N2;88,96;98,47;95,55;87,91;79,68;70,06;84,75;54,21;60,91;81,76
360;N2;72,93;77,20;76,10;75,11;52,57;73,50;99,70;59,31;62,91;96,35
361;N2;65,65;;69,93;67,68;39,24;70,92;99,70;53,40;60,24;95,94
362;N2;63,20;71,95;68,07;66,88;35,03;60,88;97,85;48,34;51,99;94,14
363;N2;88,56;92,23;94,66;64,58;62,32;64,51;11,37;51,50;53,34;10,63
364;N2;61,95;68,68;67,82;47,35;38,47;88,04;19,16;68,32;76,54;18,38
365;N2;66,82;74,99;73,25;66,68;25,16;77,44;99,70;61,78;65,01;95,84
366;N2;50,86;57,41;55,59;50,65;6,38;65,27;90,06;50,92;55,31;87,17
367;N2;50,89;55,24;53,99;53,47;28,16;81,70;81,14;61,63;69,49;77,76
368;N2;64,90;70,51;72,13;73,70;58,29;61,10;99,70;47,33;51,41;96,44
369;N2;64,44;74,89;72,82;69,94;52,27;62,95;85,26;48,16;54,71;81,78
370;N2;47,61;49,81;49,73;44,68;24,39;67,31;59,48;54,38;57,59;57,37
371;N2;66,85;71,63;74,18;56,34;60,05;53,05;24,67;41,61;45,56;23,40
372;N2;68,48;71,76;72,95;59,76;24,25;75,13;75,92;59,02;64,71;72,96
373;N2;74,19;80,75;78,23;72,66;49,81;60,46;86,32;50,29;51,58;83,06
374;N2;66,12;73,77;74,85;74,98;56,32;62,70;99,70;49,76;53,66;96,35
375;N2;66,23;74,49;70,98;66,34;44,25;88,64;81,25;69,91;75,59;77,85
376;N2;71,12;73,98;74,04;73,99;53,72;45,39;99,70;35,29;37,59;96,71
377;N2;80,26;85,90;84,99;58,85;44,74;59,00;;45,90;50,66;20,78
378;N2;68,23;74,27;76,22;73,13;49,42;62,69;96,48;49,99;53,56;92,90
379;N2;91,05;98,60;96,49;91,96;78,56;73,75;99,70;;63,23;95,76
380;N2;51,56;55,32;56,86;46,97;49,27;81,29;31,30;62,39;69,26;29,66
381;N2;59,05;60,21;64,21;54,84;49,60;67,69;51,05;54,12;58,21;48,91
382;N2;58,36;62,55;62,07;63,96;38,65;70,91;97,65;56,67;61,17;94,17
383;N2;57,03;63,70;64,65;62,03;25,01;63,83;99,70;48,48;55,45;96,22
384;N2;65,74;76,23;75,92;74,92;54,65;61,97;99,60;47,83;51,82;95,80
385;N2;83,33;86,42;86,88;85,93;77,95;62,11;99,70;48,58;52,39;95,98
386;N2;58,39;64,23;66,09;65,80;41,18;66,62;96,37;50,45;55,33;93,11
387;N2;63,36;70,53;70,47;57,00;51,84;48,87;37,76;41,08;41,85;36,56
388;N2;65,31;75,11;74,77;77,36;64,64;64,76;99,70;52,08;54,21;96,49
389;N2;72,25;;81,13;71,72;62,49;61,58;66,47;46,37;53,39;64,09
390;N2;76,18;78,83;77,99;75,34;67,61;76,55;79,78;59,33;64,31;77,16
391;N2;60,47;63,04;62,79;54,25;55,75;60,44;36,95;48,47;51,72;35,63
392;N2;64,24;69,70;68,46;65,61;30,89;75,17;99,70;56,42;65,22;95,82
393;N2;65,90;66,89;66,52;72,52;64,33;66,66;99,70;54,74;55,02;95,84
394;N2;64,46;73,51;70,66;65,52;23,14;60,75;99,70;47,10;50,94;95,88
395;N2;56,28;66,17;65,91;64,01;61,48;53,15;69,51;40,10;45,23;66,44
396;N2;80,02;89,71;88,37;82,20;56,80;69,73;99,70;53,13;59,52;96,69
397;N2;94,30;98,60;98,03;95,20;89,12;58,71;99,70;48,41;48,83;96,45
398;N2;72,12;81,81;81,54;77,05;49,77;60,77;99,27;50,51;50,83;95,79
399;N2;57,38;65,60;61,67;66,28;43,00;85,57;99,70;66,55;72,51;96,48
400;N2;90,47;98,91;95,90;67,02;53,39;72,37;25,38;58,73;62,48;23,75
401;N2;57,33;63,26;63,89;47,60;33,10;70,53;32,40;55,63;58,50;31,20
402;N2;76,46;77,47;78,79;62,44;69,88;56,69;24,67;45,94;48,04;23,85
403;N2;54,85;61,80;61,42;53,99;43,60;66,73;53,08;51,79;56,82;51,00
404;N2;70,51;79,87;79,14;62,69;48,21;60,86;47,13;46,60;51,06;45,60
405;N2;54,28;63,89;59,52;43,29;25,44;67,05;27,16;52,34;57,94;26,00
406;N2;58,40;65,57;66,40;60,44;14,89;80,61;99,70;62,12;68,21;96,31
407;N2;63,32;73,70;72,32;69,00;34,81;68,02;99,70;54,74;56,86;95,99
408;N2;66,64;70,52;71,13;65,54;25,14;65,58;98,51;49,55;56,56;
409;N2;65,70;74,99;72,71;57,95;62,07;66,63;24,53;53,64;56,83;23,11
410;N2;70,94;77,37;77,83;62,97;59,63;71,12;41,23;55,62;59,74;39,25
411;N2;59,21;65,60;65,99;49,37;38,19;70,17;29,56;56,95;60,99;27,69
412;N2;89,68;97,25;;91,22;94,38;79,61;78,95;63,67;66,80;76,10
413;N2;76,65;80,15;79,52;71,75;32,09;71,82;99,70;54,09;60,72;96,52
414;N2;76,07;80,03;81,75;63,56;43,48;63,70;53,88;49,99;53,79;51,70
415;N2;46,60;56,75;55,03;47,27;37,26;74,60;43,20;58,79;64,88;41,76
416;N2;72,49;80,13;80,38;69,59;56,55;70,31;64,41;52,86;60,31;62,06
417;N2;58,04;60,41;63,22;61,33;59,25;56,02;67,40;42,93;46,47;65,37
418;N2;81,90;90,35;86,94;62,97;47,71;75,54;28,88;59,60;;27,92
419;N2;55,60;59,26;62,07;60,73;26,67;70,44;99,70;54,44;59,18;96,68
420;N2;77,63;83,24;81,20;66,12;37,41;77,62;66,84;62,95;65,98;64,46
421;N2;52,43;;57,47;57,53;28,63;60,87;85,64;47,53;51,90;82,81
422;N2;78,18;81,30;82,45;72,51;34,07;79,75;99,70;61,37;68,83;95,98
423;N2;53,44;54,74;58,34;53,83;27,53;64,38;80,32;52,56;54,91;77,21
424;N2;60,21;63,00;65,71;58,10;42,29;58,23;67,49;46,35;48,36;64,85
425;N2;75,01;77,08;76,91;63,54;37,37;61,83;68,32;46,51;52,86;66,25
426;N2;62,95;70,50;68,55;60,62;53,53;82,57;56,57;62,49;71,71;53,87
427;N2;58,63;67,39;65,21;47,19;51,77;61,11;7,35;47,99;50,79;6,42
428;N2;44,34;46,21;46,77;;39,02;73,38;99,70;57,52;63,77;95,79
429;N2;63,28;71,86;70,62;61,22;60,85;52,45;44,24;42,25;45,60;42,54
430;N2;64,80;74,34;72,35;55,01;42,96;79,58;33,91;64,50;67,85;31,93
431;N2;60,26;70,61;68,22;56,97;23,66;78,68;70,92;61,75;66,97;67,79
432;N2;70,17;74,28;76,88;53,61;59,78;64,93;6,59;49,67;53,57;5,75
433;N2;60,75;63,65;65,85;65,27;36,95;65,14;99,70;52,39;53,90;96,07
434;N2;32,99;36,62;39,29;43,32;4,56;75,64;96,31;60,33;62,85;93,24
435;N2;60,08;69,93;69,12;64,92;25,81;71,81;99,70;54,30;62,32;96,13
436;N2;70,89;78,28;75,19;74,63;50,96;58,23;99,70;45,81;48,27;96,24
437;N2;77,48;83,06;83,19;65,66;37,45;71,53;63,70;58,54;59,76;61,73
438;N2;59,12;61,02;63,13;50,46;18,02;54,37;65,72;41,26;46,90;63,64
439;N2;;79,58;76,14;68,52;59,54;58,01;63,86;45,22;47,78;61,81
440;N2;82,46;92,16;91,13;;55,15;55,68;46,27;44,01;46,13;44,63
