"ID";"Edad";"Sexo";"NivelEducacion";"EstadoCivil";"NivelSocEco";"HorasLogeadas";"HorasHabladas";"ContactosEfectivosPromedio";"RegistrosTerminados";"ProdMayorUbral";"ProdPromAprobada"
454;55;"f";"un";"c";"e";206.8522857;121.0398571;579.5714286;1402.714286;"si";449422.86
455;51;"f";"em";"s";"c3c4";162.8;64.28;227;469;"no";113750
456;51;"m";"ts";"c";"e";196.143;97.574;269.1;704.6;"si";329600
457;55;"f";"ts";"s";"c2";167.8188889;49.98555556;317.1111111;445.8888889;"si";195444.44
458;52;"f";"em";"s";"c3c4";187.5666667;93.92;867.6666667;1456;"si";315500
459;37;"f";"em";"s";"e";118.237;43.719;128.4;496.5;"si";289848
460;52;"f";"em";"c";"c3c4";169.2566667;53.73833333;299.5;479.8333333;"si";467166.67
461;52;"f";"em";"s";"c3c4";190.4888889;95.62444444;396.1111111;1334.111111;"si";284555.56
462;42;"f";"ts";"s";"abc1";107.3366667;45.80888889;246.7777778;482.5555556;"si";277222.22
463;37;"m";"em";"s";"c3c4";139.48;57.793;195.8;280.7;"si";652650
464;48;"m";"ts";"c";"e";125.96875;64.3375;233.5;412.375;"si";502205.88
465;50;"f";"ts";"c";"c3c4";160.457;86.115;395.5;1036.7;"si";507175
466;51;"f";"em";"c";"c3c4";172.9133333;42.39166667;369.8333333;1020.5;"si";281250
467;38;"f";"em";"c";"c3c4";161.317;68.298;277.4;703.8;"si";416550
468;48;"f";"em";"c";"c3c4";147.483;68.316;218.2;558.5;"si";283577
469;45;"f";"ts";"c";"c3c4";142.6914286;52.41;208;1002.571429;"si";360428.57
470;49;"m";"ts";"c";"c3c4";147.32375;43.15125;282;474.625;"si";632500
471;49;"f";"em";"s";"c3c4";238.19;108.265;0;853.75;"si";538375
472;33;"m";"ts";"c";"e";171.01875;66.4825;380.75;719;"si";725562.5
473;45;"m";"un";"s";"c3c4";175.6685714;41.68571429;59.28571429;644.4285714;"si";333785.71
474;48;"m";"em";"c";"c3c4";167.6141667;61.624;216;385.1666667;"si";160008.33
475;47;"f";"em";"s";"c3c4";200.0133333;50.64666667;396.6666667;666.3333333;"si";428666.67
476;48;"f";"sec";"s";"e";183.529;113.221;330.2;1047.5;"si";311675
477;46;"m";"ts";"c";"c3c4";177.85;89.738;342.1;678.1;"si";390848
478;46;"m";"un";"c";"c3c4";107.692;29.896;117.7;152.9;"si";240700
479;46;"m";"em";"c";"c3c4";139.193;63.281;186.3;518.4;"si";335151.6
480;43;"f";"em";"c";"c3c4";171.92;82.09666667;319.1666667;894.1666667;"si";458041.67
481;44;"m";"un";"c";"c2";175.559;65.8076;360.3;847.2;"si";712424.9
482;42;"f";"ts";"c";"c3c4";112.0475;17.4725;73.75;511.5;"no";105250
483;30;"m";"ts";"s";"c3c4";158.04;79.76;729;1084.5;"si";223250
484;44;"f";"em";"s";"c3c4";169.40375;56.21875;378.375;578.625;"si";522625
485;44;"f";"em";"c";"c3c4";143.80625;47.33375;176.25;389.75;"si";273656.25
486;47;"f";"em";"s";"e";174.1566667;58.62166667;340;510.3333333;"si";528333.33
487;45;"f";"ts";"s";"c3c4";1.03;0.45;6;7;"no";0
488;44;"f";"em";"s";"c3c4";161.4885;57.0803;243.7;374.3;"si";274924.3
489;42;"f";"em";"c";"c3c4";181.9022222;78.67666667;343.5555556;732;"si";424111.11
490;44;"f";"ts";"s";"c3c4";182.9411111;77.78;393.3333333;677;"si";426500
491;44;"f";"ts";"c";"c3c4";153.271;39.681;181;257;"si";323207
492;43;"m";"em";"c";"c3c4";36.90475;13.532;20;233.5;"no";19536.75
493;42;"m";"ts";"c";"c3c4";180.457;58.364;319.7;430.1;"si";566775
494;41;"f";"ts";"s";"c3c4";162.97;48.22888889;504.5555556;714.7777778;"si";326916.67
495;40;"f";"un";"s";"c2";149.32;83.53;289;739;"si";188500
496;40;"m";"em";"s";"c3c4";72.88;18.2;244;405;"no";16788
497;40;"m";"em";"c";"c3c4";194.8611111;36.53222222;226.8888889;570.1111111;"si";358111.11
498;38;"f";"em";"c";"c3c4";160.552;32.485;193.8;489.7;"si";258350
499;38;"m";"un";"c";"c3c4";0.17;0.013333333;0.333333333;0.666666667;"no";0
500;38;"m";"ts";"c";"c3c4";149.915;56.8975;0;562.75;"si";297125
501;38;"m";"ts";"c";"c3c4";161.7725;57.18125;225;1023.875;"no";154687.5
502;37;"m";"em";"s";"e";177.93;29.06;396;443.625;"si";267315.5
503;36;"f";"ts";"c";"c3c4";158.1687;49.0907;346.5;567.7;"si";689031.6
504;36;"m";"em";"c";"c3c4";157.525;106.795;529.5;1166.5;"no";103500
505;36;"f";"ts";"s";"fue";100.9682222;30.88433333;228.8888889;302.3333333;"si";203795.78
506;36;"f";"em";"c";"c3c4";181.4777778;60.29;246.2222222;275;"si";323722.22
507;36;"f";"em";"s";"c3c4";197.405;112.807;557.1;994;"si";587775
508;35;"m";"em";"c";"c3c4";160.487;46.898;157.5;242.5;"si";599200
509;35;"m";"un";"s";"c2";198.085;81.731;304.2;983.8;"si";380850
510;35;"f";"sec";"c";"e";201.964;91.734;299.9;832.4;"si";400800
511;35;"m";"ts";"s";"c3c4";156.32;52;495;686;"si";464000
512;35;"f";"ts";"c";"e";168.294;70.385;415.3;1131.8;"si";426950
513;35;"f";"ts";"c";"c3c4";177.596;46.168;181.8;518.4;"si";813000
514;35;"f";"em";"c";"fue";139.3;38.77;241.5;514.5;"no";25750
515;35;"m";"em";"s";"e";60.24;16.52;65;474;"no";0
516;35;"m";"ts";"s";"c3c4";0.79;0.125;0;1;"no";0
517;34;"f";"em";"s";"e";181.284;69.019;300.5;935.9;"si";393650
518;34;"f";"em";"s";"c2";201.3;82.77;516.75;778.875;"si";714000
519;34;"f";"em";"s";"e";184.42;69.09;540;615;"si";596500
520;34;"m";"ts";"s";"c3c4";102.2274;31.8026;468;656.6;"si";492066
521;35;"f";"em";"c";"c2";168.81;63.53666667;490.3333333;622;"si";334500
522;35;"f";"em";"s";"c3c4";183.4922222;100.3944444;323.1111111;876.3333333;"si";217382.22
523;38;"m";"em";"c";"c3c4";209.665;86.685;542.875;867.125;"si";668937.5
524;33;"m";"em";"s";"c3c4";168.3505;51.056125;203.25;305.625;"si";281397.25
525;33;"m";"ts";"c";"e";181.74;33.4025;153.625;589;"si";256843.75
526;33;"f";"em";"s";"fue";179.4;78.994;336.4;416.8;"si";573275
527;33;"m";"ts";"s";"e";157.946;48.709;173.6;1113;"si";207500
528;33;"f";"em";"s";"c3c4";114.034;23.394;199.8;457.2;"no";145800
529;34;"f";"ts";"c";"c3c4";156.463;69.35;242.8;579.9;"si";250750
530;32;"m";"em";"c";"fue";93.775;27.22;114.8333333;198.1666667;"no";149916.67
531;32;"f";"em";"s";"abc1";114.1522222;29.42333333;131.5555556;451.4444444;"no";126361.11
532;32;"f";"ts";"s";"e";184.418;91.79;277.2;919.9;"si";423500
533;31;"m";"ts";"s";"e";166.90375;88.7875;374;975.25;"si";402031.25
534;32;"m";"un";"s";"c2";164.1142857;48.38428571;195;263;"si";586321.43
535;31;"m";"ts";"s";"c3c4";174.979;48.45271429;151.8571429;231.1428571;"si";291177.57
536;31;"m";"un";"c";"e";170.9622222;58.95;208.2222222;597.6666667;"si";540527.78
537;31;"f";"ts";"s";"c3c4";191.2625;87.1125;742.75;1890.25;"si";1132250
538;31;"m";"ts";"s";"c3c4";135.52875;39.90125;160.25;319.125;"si";326875
539;31;"m";"ts";"s";"e";174.0874;42.995;586.2;662;"si";382706.5
540;31;"f";"em";"s";"c2";170.774;91.594;348.4;762.8;"si";471850
541;31;"f";"em";"c";"c3c4";168.915;53.135;323;642;"si";483250
542;31;"f";"em";"c";"e";143.2256;49.5399;345.4;468.8;"si";546744.2
543;31;"m";"em";"s";"fue";118.055;34.425;97.5;506;"no";65000
544;30;"f";"ts";"s";"e";172.4;33.63333333;270;707.6666667;"si";362666.67
545;30;"f";"un";"s";"c3c4";44.154;14.808;101;111;"no";69560
546;30;"m";"em";"c";"c3c4";189.011;83.504;287.2;600.6;"si";264825
547;30;"f";"ts";"s";"c2";168.672;58.956;320.8;535.8;"si";379700
548;30;"f";"em";"s";"c3c4";136.1916667;76.73333333;319;626.5;"si";240791.67
549;35;"m";"ts";"c";"fue";212.298;97.2135;391;486;"si";991404.5
550;31;"m";"em";"s";"c3c4";109.38;35.88;0;0;"si";164535
551;37;"f";"ts";"s";"c3c4";75.145;21.985;82.5;303;"no";82875
552;29;"m";"un";"s";"e";138.3386667;27.83466667;88.33333333;104.3333333;"si";204916.67
553;29;"m";"ts";"c";"c2";215.365;92.195;0;754.5;"si";788250
554;30;"m";"em";"s";"c3c4";172.142625;54.661;206.875;689.625;"si";469887.75
555;29;"f";"ts";"s";"c3c4";131.8842857;66.48;284.7142857;640.7142857;"si";274357.14
556;30;"m";"ts";"s";"e";162.468;46.808;53.42857143;81.85714286;"si";593529.57
557;36;"f";"ts";"c";"c3c4";157.118;58.236;144;263.4;"si";348300
558;33;"f";"em";"s";"c3c4";167.517;82.627;246.2;587.5;"si";295625
559;31;"f";"ts";"s";"c3c4";184.928;59.952;436;548.8;"si";422600
560;30;"f";"ts";"c";"c3c4";159.7777778;74.91777778;247;275.5555556;"si";533111.11
561;29;"m";"ts";"s";"c3c4";168.4232;34.0159;114.7;215.4;"si";515432.2
562;35;"m";"ts";"c";"e";181.3025;63.5825;281;701.5;"si";476125
563;39;"f";"em";"s";"c2";161.1933333;86.28666667;272.7777778;707.7777778;"si";335311
564;36;"m";"em";"c";"c3c4";14.49628571;2.922142857;30.14285714;48.42857143;"no";0
565;36;"f";"em";"s";"c3c4";182.0525;48.85625;446.75;864.375;"si";672625
566;36;"f";"em";"c";"c3c4";157.0742857;65.23285714;371.1428571;664.1428571;"si";656285.71
567;36;"m";"ts";"s";"c2";186.94125;70.75375;336.5;749;"si";477886.88
568;34;"f";"em";"s";"c3c4";166.704;76.201;221.4;553.4;"si";422500
569;31;"f";"ts";"s";"c3c4";159.7744444;52.97777778;338;1132;"si";254388.89
570;29;"m";"em";"s";"c3c4";124.12;42.33;252;1033.5;"no";88750
571;31;"f";"em";"s";"e";158.919;52.346;154.3;582.6;"si";241850
572;27;"f";"un";"s";"fue";162.165;33.7075;166.5;208.625;"si";391562.5
573;28;"m";"ts";"s";"e";53.8;10.03;133;178;"no";4000
574;28;"f";"em";"c";"e";142.4075;25.7225;205.75;497;"si";294875
575;28;"m";"em";"s";"c3c4";222.7575;63.74;2;601;"si";325329.5
576;27;"f";"un";"s";"c3c4";181.867;73.287;424.1;1194.2;"si";547050
577;29;"m";"ts";"s";"c3c4";125.78;21.355;195;914.5;"no";51500
578;26;"f";"em";"s";"c3c4";172.419;66.322;357.3;1128.1;"si";518050
579;26;"m";"un";"s";"fue";140.4888889;59.89777778;228.5555556;621.3333333;"si";454870.33
580;26;"m";"ts";"s";"c2";115.5116;26.5062;202.2;264.6;"si";296729.7
581;27;"f";"em";"s";"e";121.75;39.02;151;223;"si";402500
582;27;"m";"ts";"s";"e";177.1475;67.06;203.25;480;"si";220812.5
583;28;"f";"em";"s";"e";129.9866667;79.70666667;225.5555556;430;"si";304250
584;28;"m";"ts";"s";"c3c4";150.3255714;33.83828571;225.5714286;282;"si";206801.71
585;28;"f";"em";"s";"c3c4";146.875;54.23;185;710;"si";180812.5
586;28;"m";"ts";"s";"c2";190.3666667;70.79333333;210.6666667;622.5;"si";370625
587;28;"f";"ts";"c";"fue";163.925;54.275;355.9;549.4;"si";361400
588;29;"f";"em";"s";"c2";162.4094;47.6886;440.2;876.2;"si";460604.6
589;28;"f";"em";"s";"c3c4";163.0708333;29.4235;35;35.5;"si";339110.33
590;28;"m";"ts";"s";"e";187.7721;67.1967;499.2;713.8;"si";444564.7
591;28;"f";"em";"s";"e";162.18875;43.97125;268.25;746;"si";272531.25
592;28;"f";"em";"s";"e";130.59;63.63111111;333.2222222;594.6666667;"si";337111.11
593;27;"m";"em";"c";"c3c4";157.5833333;67.90666667;209.3333333;514;"si";256833.33
594;26;"m";"em";"s";"e";117.86;16.036;33.4;329;"no";146500
595;27;"m";"em";"c";"c3c4";3.128333333;0.897666667;1;1.333333333;"no";0
596;27;"m";"ts";"s";"c3c4";101.05;40.25;119;441;"no";32000
597;26;"f";"em";"c";"c3c4";17.125;10.055;11;80.5;"no";14625
598;27;"m";"un";"s";"e";124.8341;25.7724;43.6;97.9;"si";293755.5
599;26;"f";"em";"c";"c3c4";112.3182857;23.104;67.28571429;129.1428571;"no";147849.29
600;26;"f";"em";"s";"e";63.37;15.18333333;47.66666667;227.3333333;"no";80300
601;26;"m";"un";"s";"c3c4";150.087;57.766;312.5;781.7;"si";283250
602;26;"m";"ts";"c";"e";103.52;44.73;263;294;"no";90000
603;26;"f";"em";"s";"e";152.2433333;68.46444444;215.2222222;1080.555556;"si";171748.89
604;26;"f";"em";"s";"e";143.1298;51.4382;204.5;488.6;"si";258033.8
605;26;"f";"ts";"s";"c3c4";133.665;24.635;147.5;417.5;"no";61000
606;26;"f";"un";"s";"c3c4";115.9125;59.4525;223.75;637.25;"si";208812.5
607;26;"f";"ts";"s";"e";142.9681111;32.19555556;203.2222222;278.1111111;"si";395121.33
608;26;"m";"em";"s";"e";86.085;31.965;96.5;111.5;"no";120825.5
609;25;"f";"ts";"s";"c3c4";151.07375;65.5825;154.125;457.25;"si";395812.5
610;26;"m";"em";"s";"e";96.165;0.115;17;17;"no";0
611;26;"f";"ts";"s";"c3c4";159.9408571;41.14771429;186.5714286;320.1428571;"si";418365.14
612;26;"f";"un";"s";"c3c4";158.622;50.05357143;137.8571429;248.2857143;"si";439033.71
613;25;"f";"em";"s";"e";171.135;84.086;323.9;590.9;"si";268725
614;26;"f";"em";"s";"c3c4";116.6;46.2;253;581;"si";266000
615;25;"f";"em";"c";"c2";135.0333333;46.33;350;594.6666667;"si";474000
616;25;"m";"ts";"s";"e";148.9978889;47.62733333;305.8888889;403.8888889;"si";342107.78
617;25;"f";"ts";"s";"c3c4";182.0164286;44.586;139.2857143;224.1428571;"si";414180.57
618;40;"m";"ts";"s";"e";180.698;72.94;243.3;318.2;"si";561700
619;25;"f";"ts";"s";"fue";131.076;60.227;294.2;740.6;"si";502800
620;25;"f";"em";"s";"c2";138.789;50.397;215.9;280.1;"si";779975
621;25;"m";"em";"s";"c3c4";166.0016667;66.25;202.1666667;433.3333333;"si";407333.33
622;25;"m";"ts";"s";"c2";179.1581429;72.14414286;264.5714286;719.8571429;"si";178220
623;24;"f";"ts";"s";"c3c4";182.0114286;49.12857143;238.1428571;552.1428571;"si";304142.86
624;25;"f";"em";"c";"e";122.385;28.235;217.5;460.5;"no";53000
625;25;"f";"un";"s";"c3c4";197.04;102.7683333;414.1666667;799.5;"si";238041.67
626;25;"m";"em";"s";"c3c4";178.5057143;39.45285714;234;531;"si";570071.43
627;24;"m";"em";"s";"c3c4";157.6514;44.625;89.6;168.6;"si";209226.2
628;28;"m";"ts";"s";"c3c4";160.945;69.91;158.75;624.25;"si";542255.75
629;24;"m";"em";"s";"abc1";137.279;54.88;196.8;569.9;"si";567975
630;24;"m";"em";"s";"c3c4";109.833;41.009;239;555.4;"no";151150
631;24;"m";"em";"s";"c3c4";140.6;36.705;62.25;611.25;"si";183312.5
632;24;"f";"em";"c";"c2";159.7275;42.8175;0;502.75;"si";310000
633;23;"m";"em";"c";"c3c4";214.3;79.615;0;708.75;"si";490000
634;24;"f";"un";"c";"c3c4";205.5703333;26.17733333;12.33333333;21.66666667;"si";654523
635;24;"f";"em";"s";"c3c4";19.97;8.668;103;164;"no";15191
636;23;"f";"em";"s";"e";83.84;28.08;131;317;"no";0
637;24;"f";"ts";"c";"e";155.2766667;36.40666667;225.7777778;444.7777778;"si";571555.56
638;22;"m";"un";"s";"c3c4";124.41;28.02666667;311.6666667;371;"si";265159
639;23;"f";"ts";"s";"c3c4";78.35;34.33;114;367;"no";0
640;24;"f";"em";"s";"c3c4";178.848;96.191;374.9;750.8;"si";367975
641;23;"f";"ts";"s";"c2";158.25325;37.56175;25.75;35;"si";641770
642;23;"m";"un";"s";"e";171.955;39.025;12.5;49;"no";150890
643;28;"f";"ts";"s";"c2";258.4;97.875;0;861;"si";588000
644;22;"f";"em";"s";"c2";104.6133333;29.02166667;118.3333333;171.8333333;"si";245083.33
645;25;"m";"ts";"s";"c3c4";96.85;48.46;194;381;"si";553000
646;22;"m";"em";"s";"e";202.8266667;39.57666667;295.3333333;746;"si";412000
647;21;"m";"em";"s";"c2";133.977;43.91533333;95;138.6666667;"si";735131
648;22;"f";"un";"s";"c3c4";111.68;40.80142857;100;509.5714286;"si";181071.43
649;21;"f";"em";"s";"e";186.535;35.08;22;111;"si";229250
650;26;"f";"ts";"s";"e";132.528;51.376;181.8;532;"si";263550
651;21;"f";"ts";"s";"e";107.5911111;50.67666667;270.1111111;677.1111111;"si";248500
652;21;"m";"em";"s";"c3c4";180.5773333;50.46566667;147.2222222;287.7777778;"si";435298.56
653;25;"f";"un";"s";"e";71.7;23.005;62;150.5;"no";121500
654;24;"f";"ts";"c";"c3c4";5.3;0.94;13;50;"no";0
655;30;"f";"sec";"s";"c3c4";124.783;57.948;249.9;981.4;"si";392250
656;50;"f";"em";"c";"e";193.782;90.175;376.5;908;"si";335850
657;28;"f";"un";"s";"abc1";193.32;71.52;390;687.5;"si";770000
658;29;"m";"un";"s";"c2";120.82;39.13;85.66666667;471.6666667;"no";154250
659;28;"f";"ts";"s";"c3c4";164.6262;51.7097;428.6;494.6;"si";258775.5
660;33;"m";"ts";"s";"e";121.296;35.79;147.2;404;"si";208876
